ticker,side,rank,score
BNS,LONG,1,1682.33333333333
TTE,LONG,2,1670
UBS,LONG,3,1637.33333333333
L,LONG,4,1636.66666666667
CM,LONG,5,1633.33333333333
DB,LONG,6,1627
AEG,LONG,7,1623.66666666667
HIG,LONG,8,1621.33333333333
FER,LONG,9,1606.66666666667
RY,LONG,10,1604.33333333333
NLY,LONG,11,1576
FOX,LONG,12,1572.66666666667
RNR,LONG,13,1549.66666666667
MFA,LONG,14,1546.66666666667
CASY,LONG,15,1545
SOLS,SHORT,1,63.6666666666667
KRMN,SHORT,2,64
RHLD,SHORT,3,80
BPRE,SHORT,4,82.3333333333333
NAT,SHORT,5,115.666666666667
FSSL,SHORT,6,116
EMA,SHORT,7,124.333333333333
Q,SHORT,8,127.333333333333
AHL,SHORT,9,143
MICC,SHORT,10,143.333333333333
SUNC,SHORT,11,150
PACS,SHORT,12,160.333333333333
EIG,SHORT,13,166.666666666667
CCC,SHORT,14,183.666666666667
PRAX,SHORT,15,200
