ticker,side
Q,SHORT
CSR,SHORT
PSKY,SHORT
RY,LONG
MICC,SHORT
FER,LONG
EMA,SHORT
TTE,LONG
CCC,SHORT
UBS,LONG
CART,SHORT
BNS,LONG
CM,LONG
SFIX,SHORT
L,LONG
BMO,LONG
ALM,SHORT
NYT,LONG
WTW,LONG
AIZ,LONG
LMRI,SHORT
EIG,LONG
TD,LONG
SOLS,SHORT
FSSL,SHORT
DB,LONG
AXS,LONG
AHL,SHORT
MDGL,SHORT
SUNC,SHORT
