ticker,side,rank,score
TD,LONG,1,1683.66666666667
DB,LONG,2,1681
AEG,LONG,3,1678.33333333333
PHG,LONG,4,1677.66666666667
RY,LONG,5,1675.33333333333
CM,LONG,6,1673.33333333333
HIG,LONG,7,1670.66666666667
L,LONG,8,1668.33333333333
UBS,LONG,9,1667.33333333333
BNS,LONG,10,1659
PRU,LONG,11,1658.66666666667
HTGC,LONG,12,1655.66666666667
TRP,LONG,13,1652
MFC,LONG,14,1647.33333333333
WTW,LONG,15,1643.66666666667
BPRE,SHORT,1,72.3333333333333
FIG,SHORT,2,85.6666666666667
CCC,SHORT,3,93
XXI,SHORT,4,99
FSSL,SHORT,5,123
AHL,SHORT,6,123.333333333333
SUNC,SHORT,7,140
EMA,SHORT,8,147
NAVN,SHORT,9,163
BRKR,SHORT,10,188.333333333333
RARE,SHORT,11,189.666666666667
BLLN,SHORT,12,195
WLTH,SHORT,13,203.333333333333
ARX,SHORT,14,208
IMSR,SHORT,15,213
