ticker,side
SWX,LONG
JKHY,LONG
SITC,SHORT
EMA,SHORT
GIB,LONG
RHLD,SHORT
THG,LONG
GTY,SHORT
GL,LONG
MT,LONG
YUMC,LONG
EIG,SHORT
Q,SHORT
OCSL,SHORT
VRE,SHORT
EIG,LONG
HMN,LONG
HMN,SHORT
FSSL,SHORT
VRE,LONG
DGX,LONG
NAVN,SHORT
CCC,SHORT
ESS,LONG
UBS,LONG
CSR,SHORT
SOLS,SHORT
ROL,LONG
SUNC,SHORT
NLY,LONG
