ticker,side,rank,score
TD,LONG,1,1672.66666666667
DB,LONG,2,1669.33333333333
FER,LONG,3,1664
NLY,LONG,4,1655.33333333333
BNS,LONG,5,1654.66666666667
PHG,LONG,6,1635
UBS,LONG,7,1624.66666666667
CM,LONG,8,1624
TTE,LONG,9,1614.66666666667
RY,LONG,10,1609
RJF,LONG,11,1581
EXPD,LONG,12,1579.66666666667
MFC,LONG,13,1566
ALC,LONG,14,1564.66666666667
KMT,LONG,15,1559.33333333333
MDLN,SHORT,1,88.6666666666667
SOLS,SHORT,2,97.3333333333333
KRMN,SHORT,3,124.333333333333
SUNC,SHORT,4,137
VSCO,SHORT,5,154.333333333333
BPRE,SHORT,6,157.666666666667
PRAX,SHORT,7,178.666666666667
CCC,SHORT,8,179.666666666667
AHL,SHORT,9,180
AIV,SHORT,10,206.333333333333
WLFC,SHORT,11,208.666666666667
ELME,SHORT,12,213.666666666667
LDOS,SHORT,13,214
KNX,SHORT,14,222.333333333333
VICR,SHORT,15,224
