ticker,side,rank,score
TD,LONG,1,1679
BNS,LONG,2,1677.66666666667
RY,LONG,3,1673.66666666667
TTE,LONG,4,1672
L,LONG,5,1669.66666666667
FER,LONG,6,1667.66666666667
CM,LONG,7,1658.33333333333
CMS,LONG,8,1657.33333333333
HIG,LONG,9,1656.33333333333
CPT,LONG,10,1655.33333333333
SSNC,LONG,11,1653.33333333333
ROL,LONG,12,1650.66666666667
DX,LONG,13,1647.66666666667
BMO,LONG,14,1644.33333333333
UBS,LONG,15,1644
BPRE,SHORT,1,31.6666666666667
MICC,SHORT,2,77.3333333333333
AHL,SHORT,3,77.6666666666667
SUNC,SHORT,4,83.6666666666667
WLTH,SHORT,5,92
FSSL,SHORT,6,101
SOLS,SHORT,7,102
SHAK,SHORT,8,124.666666666667
EMA,SHORT,9,144
FIG,SHORT,10,147
XXI,SHORT,11,159
CCC,SHORT,12,171.666666666667
NAT,SHORT,13,172.333333333333
SPHR,SHORT,14,186.333333333333
TTAN,SHORT,15,191.333333333333
