ticker,side,rank,score
RY,LONG,1,1678
DB,LONG,2,1674.66666666667
CM,LONG,3,1674.33333333333
TRP,LONG,4,1665.33333333333
BNS,LONG,5,1662.33333333333
AEG,LONG,6,1661.33333333333
UBS,LONG,7,1661.33333333333
MFC,LONG,8,1637.33333333333
BMO,LONG,9,1629.66666666667
PRU,LONG,10,1628.66666666667
AER,LONG,11,1626.66666666667
NYT,LONG,12,1626
WTW,LONG,13,1624.33333333333
TTE,LONG,14,1622.66666666667
POR,LONG,15,1619
WLTH,SHORT,1,61.3333333333333
TE,SHORT,2,84.6666666666667
VICR,SHORT,3,95.3333333333333
ERAS,SHORT,4,104
CCCX,SHORT,5,120.666666666667
FIGR,SHORT,6,147.666666666667
CHYM,SHORT,7,150.666666666667
ISSC,SHORT,8,152
IBRX,SHORT,9,152.666666666667
CCC,SHORT,10,158
AMKR,SHORT,11,161
RHLD,SHORT,12,165.333333333333
NTLA,SHORT,13,165.666666666667
USAR,SHORT,14,175
NEU,SHORT,15,183.666666666667
