ticker,side,rank,score
UBS,LONG,1,1681.66666666667
CM,LONG,2,1651
BNS,LONG,3,1644.33333333333
CNP,LONG,4,1643.66666666667
NLY,LONG,5,1629.66666666667
L,LONG,6,1629.33333333333
RY,LONG,7,1622
FER,LONG,8,1596.33333333333
NJR,LONG,9,1584.66666666667
HIG,LONG,10,1584.33333333333
AEG,LONG,11,1572.66666666667
PMT,LONG,12,1566.33333333333
BWA,LONG,13,1563.66666666667
OPCH,LONG,14,1562
CLH,LONG,15,1558
Q,SHORT,1,71.3333333333333
RMBS,SHORT,2,102.666666666667
KRMN,SHORT,3,110
SOLS,SHORT,4,110
TTMI,SHORT,5,125.333333333333
VICR,SHORT,6,133
MDLN,SHORT,7,136
AEIS,SHORT,8,139
SKYT,SHORT,9,153.333333333333
INSP,SHORT,10,166.666666666667
MKSI,SHORT,11,185.666666666667
CCC,SHORT,12,193
UEC,SHORT,13,199.333333333333
AHL,SHORT,14,200.333333333333
GLXY,SHORT,15,203
