ticker,side
BMO,LONG
UBS,LONG
SION,SHORT
FTS,LONG
TSN,LONG
MICC,SHORT
BNS,LONG
AHL,SHORT
MT,LONG
FSSL,SHORT
Q,SHORT
CNO,LONG
OCSL,SHORT
L,LONG
EMA,SHORT
AIZ,LONG
RHLD,SHORT
STLA,LONG
VRE,SHORT
DB,LONG
HOPE,SHORT
NYT,LONG
POR,LONG
NAVI,SHORT
SOLS,SHORT
GL,LONG
EIG,SHORT
VRE,LONG
SUNC,SHORT
CCC,SHORT
