ticker,side,rank,score
TD,LONG,1,1683.33333333333
DB,LONG,2,1682
AEG,LONG,3,1677.66666666667
RY,LONG,4,1676.33333333333
CM,LONG,5,1673.66666666667
HIG,LONG,6,1669.33333333333
UBS,LONG,7,1669.33333333333
L,LONG,8,1667
BNS,LONG,9,1663.33333333333
PHG,LONG,10,1663.33333333333
PRU,LONG,11,1662
HTGC,LONG,12,1652.33333333333
MFC,LONG,13,1646.33333333333
WTW,LONG,14,1640.66666666667
TRP,LONG,15,1635.66666666667
FIG,SHORT,1,66.3333333333333
BPRE,SHORT,2,70.3333333333333
CCC,SHORT,3,97.3333333333333
AHL,SHORT,4,115.333333333333
XXI,SHORT,5,131.666666666667
FSSL,SHORT,6,134.333333333333
SUNC,SHORT,7,141.666666666667
EMA,SHORT,8,144
KRMN,SHORT,9,150.666666666667
RHLD,SHORT,10,157.666666666667
IMSR,SHORT,11,196.666666666667
Q,SHORT,12,203.333333333333
NAVN,SHORT,13,212.333333333333
SION,SHORT,14,228.333333333333
SCHL,SHORT,15,229.333333333333
