ticker,side
CHYM,SHORT
EMA,SHORT
AHL,SHORT
MICC,SHORT
HOPE,SHORT
FER,LONG
TD,LONG
SLF,LONG
NJR,LONG
NAVN,SHORT
RY,LONG
WLTH,SHORT
LMRI,SHORT
CCC,SHORT
EIG,SHORT
L,LONG
WTW,LONG
MT,LONG
CM,LONG
BMO,LONG
Q,SHORT
SCHL,SHORT
MICC,LONG
BRCB,SHORT
DB,LONG
ROL,LONG
NAVI,SHORT
BNS,LONG
PRU,LONG
SUNC,SHORT
