ticker,side
PRU,LONG
VRE,SHORT
GTY,SHORT
FSSL,SHORT
QXO,SHORT
ED,LONG
EMA,SHORT
CNO,LONG
CCC,SHORT
SUNC,SHORT
EIG,SHORT
SOLS,SHORT
TOWN,SHORT
UBS,LONG
GLPI,LONG
FWONA,SHORT
FSSL,LONG
JKHY,LONG
IRT,LONG
HG,SHORT
CNP,LONG
OCSL,SHORT
SLF,LONG
CHCO,SHORT
CBLL,LONG
SUNC,LONG
HOPE,SHORT
HEI,LONG
EIG,LONG
MKTX,LONG
